Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
NO2,14,10,0.9829333036205227,0.19434884419378667,0.8201933622935774,18.479953288168055,1,9,0.1111111111111111,1-1-1-1-2-3-5-6-8-9
NO2,15,2,0.9866558966214518,0.7494716640424194,0.16008615831425463,30.169990249206744,1,36,0.027777777777777776,1-36
NO2,15,3,0.9866558966214518,0.19866880379473525,1.1001985327417423,25.276481056010837,1,20,0.05,1-16-20
NO2,15,4,0.9866558966214518,0.21402689216954632,0.9726809402864074,23.00370325972431,1,18,0.05555555555555555,1-2-16-18
NO2,15,5,0.9866558966214518,0.22677126125734912,0.8222824675493904,22.881118640308166,1,22,0.045454545454545456,1-1-2-11-22
NO2,15,6,0.9866558966214518,0.19597515514501931,0.9195036744056808,21.11244174823394,1,16,0.0625,1-1-2-4-13-16
NO2,15,7,0.9866558966214518,0.15166396365931872,1.0250974450897452,19.803863807117157,1,13,0.07692307692307693,1-1-2-5-7-8-13
NO2,15,8,0.9866558966214518,0.17295583924203137,0.9978504023005914,19.300079457617823,1,15,0.06666666666666667,1-1-2-4-4-5-5-15
NO2,15,9,0.9866558966214518,0.1930447671293987,0.9581071480641241,18.77484646475692,1,9,0.1111111111111111,1-1-2-2-3-4-6-9-9
NO2,15,10,0.9866558966214518,0.1892530474399937,0.8314080419499563,18.01978778106355,1,9,0.1111111111111111,1-1-1-1-2-3-5-6-8-9
NO2,16,2,0.9892053749939549,0.7486832556875886,0.16071016841271563,30.02552842922209,1,36,0.027777777777777776,1-36
NO2,16,3,0.9892053749939549,0.19690277282151802,1.1054361068873313,25.116727920856334,1,20,0.05,1-16-20
NO2,16,4,0.9892053749939549,0.21193231868795703,0.9783645010498205,22.823625210495813,1,18,0.05555555555555555,1-2-16-18
NO2,16,5,0.9892053749939549,0.22420646641995,0.8273810701230317,22.655591203661817,1,22,0.045454545454545456,1-1-2-11-22
NO2,16,6,0.9892053749939549,0.1932457011646451,0.9267496744116243,20.87641266663402,1,16,0.0625,1-1-2-4-13-16
NO2,16,7,0.9892053749939549,0.1498952314279026,1.0342689472745359,19.563997127451696,1,13,0.07692307692307693,1-1-2-5-7-8-13
NO2,16,8,0.9892053749939549,0.16954716228345998,1.0041542707265754,19.03446035028743,1,15,0.06666666666666667,1-1-2-4-4-5-5-15
NO2,16,9,0.9892053749939549,0.1894150514627839,0.9679705370312242,18.49129976046548,1,9,0.1111111111111111,1-1-2-2-3-4-6-9-9
