Polutan,Metode,Jumlah_Fitur_Input,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
NO2,PCA,68,11,6,0.2254248915820304,0.8389043557353353,22.977323852322883,501.6482143947862,0.9667348558384308
NO2,PCA,68,11,7,0.1950608474831594,0.94413962696677,21.879087131880564,439.1455904686224,0.9667348558384308
NO2,PCA,68,11,8,0.1712692931002989,1.0514402390218407,21.23678401877325,385.360784624652,0.9667348558384308
NO2,PCA,68,11,9,0.193298781174603,0.998338163462722,20.933866964203357,338.16517152017923,0.9667348558384308
NO2,PCA,68,11,10,0.2089205198341634,0.9059758513220924,20.24800076143041,304.64123029547693,0.9667348558384308
NO2,PCA,68,12,2,0.7535372684000372,0.1571254515429545,30.95531115384951,1261.164027127013,0.9732124233673108
NO2,PCA,68,12,3,0.2075423939606951,1.074019032096268,26.14618756917816,936.3965351258986,0.9732124233673108
NO2,PCA,68,12,4,0.2234120952647567,0.9466154021444252,23.983215953900697,747.2849880623329,0.9732124233673108
NO2,PCA,68,12,5,0.2293432433474379,0.8203205086849437,24.242506338431003,589.6774184779142,0.9732124233673108
NO2,PCA,68,12,6,0.1983990153812351,0.9292840651255992,22.94916503855606,505.4973394696022,0.9732124233673108
NO2,PCA,68,12,7,0.1849715872535054,1.0180651072762603,21.58191070303726,447.0304569925861,0.9732124233673108
NO2,PCA,68,12,8,0.1734570443517553,1.0495926804999347,20.22860935885397,403.9909152028095,0.9732124233673108
NO2,PCA,68,12,9,0.1908363634711239,1.0211641962804556,20.56522014094634,345.6459792930574,0.9732124233673108
NO2,PCA,68,12,10,0.2065021841290714,0.9183950340896482,19.65114424311089,314.76353410964475,0.9732124233673108
NO2,PCA,68,13,2,0.7518363960300167,0.1583665043527455,30.62777986586172,1274.6513605105772,0.9787356837874026
NO2,PCA,68,13,3,0.2039354955759247,1.0846612532325883,25.790285347000072,949.5434033042455,0.9787356837874026
NO2,PCA,68,13,4,0.2181896581883625,0.9419256708596796,23.58237398392317,760.2369331301377,0.9787356837874026
NO2,PCA,68,13,5,0.2247071822724154,0.8305747405021158,23.71287866303757,602.927931003513,0.9787356837874026
NO2,PCA,68,13,6,0.2028381826165529,0.9021389151940556,21.87421026505515,527.831401379072,0.9787356837874026
NO2,PCA,68,13,7,0.1581093083892222,0.9895054970549376,20.596800336078047,466.8693954767639,0.9787356837874026
NO2,PCA,68,13,8,0.1786456347788868,0.9832960694052734,20.07379743959023,408.8809649484239,0.9787356837874026
NO2,PCA,68,13,9,0.1715443404788526,1.042567820080499,19.631513040548832,361.6388549537117,0.9787356837874026
NO2,PCA,68,13,10,0.1986973296581637,0.8113065296909083,18.986147529396643,326.1243294142164,0.9787356837874026
NO2,PCA,68,14,2,0.7505801682208271,0.1592515980304891,30.38344009415981,1284.9019467232065,0.9829333036205224
NO2,PCA,68,14,3,0.2010022056809368,1.0926833601262351,25.514855682499583,959.7937594152334,0.9829333036205224
NO2,PCA,68,14,4,0.2146798004666918,0.9502091093390888,23.26925071344507,770.4736418848925,0.9829333036205224
NO2,PCA,68,14,5,0.2295039581675099,0.8145426107780519,23.218117821176573,615.1102744094521,0.9829333036205224
NO2,PCA,68,14,6,0.1988275323470475,0.9112913412246052,21.46132904378129,538.0075327032007,0.9829333036205224
NO2,PCA,68,14,7,0.1699726757141687,1.0016764905216975,20.788122131384707,465.3931595352712,0.9829333036205224
NO2,PCA,68,14,8,0.1681720840037006,0.9019371567485222,19.100578594970237,427.8281371932393,0.9829333036205224
NO2,PCA,68,14,9,0.1681785847806961,1.0055916399382587,18.58864764458767,380.3370437711299,0.9829333036205224
NO2,PCA,68,14,10,0.1943488441937866,0.8201933622935774,18.47995328816805,335.2413892953159,0.9829333036205224
NO2,PCA,68,15,2,0.7494716640424194,0.1600861583142546,30.169990249206744,1293.9925134523392,0.9866558966214516
NO2,PCA,68,15,3,0.1986688037947352,1.1001985327417425,25.27648105601084,968.8609806023408,0.9866558966214516
NO2,PCA,68,15,4,0.2140268921695463,0.9726809402864074,23.00370325972431,779.4313017205264,0.9866558966214516
NO2,PCA,68,15,5,0.2267712612573491,0.8222824675493904,22.881118640308166,624.1778292071717,0.9866558966214516
NO2,PCA,68,15,6,0.1959751551450193,0.9195036744056808,21.11244174823394,546.94358984485,0.9866558966214516
NO2,PCA,68,15,7,0.1516639636593187,1.0250974450897452,19.80386380711716,485.6932206784318,0.9866558966214516
NO2,PCA,68,15,8,0.1729558392420313,0.9978504023005914,19.300079457617823,425.79378707506345,0.9866558966214516
NO2,PCA,68,15,9,0.1930447671293987,0.958107148064124,18.77484646475692,378.5861313013353,0.9866558966214516
NO2,PCA,68,15,10,0.1892530474399937,0.8314080419499563,18.01978778106355,343.8779294032922,0.9866558966214516
NO2,PCA,68,16,2,0.7486832556875886,0.1607101684127156,30.02552842922209,1300.2183210669336,0.9892053749939548
NO2,PCA,68,16,3,0.196902772821518,1.1054361068873313,25.11672792085633,975.0489642658848,0.9892053749939548
