valid_time,latitude,longitude,pm1_ug_m3,pm2p5_ug_m3,pm10_ug_m3
2025-09-27 12:00:00,-7.2,112.4,22.19992,24.741745,25.915525
2025-09-27 18:00:00,-7.2,112.4,29.225727,32.006336,33.264694
2025-09-27 18:00:00,-7.2,112.4,27.920208,31.019865,32.521236
2025-09-28 00:00:00,-7.2,112.4,52.592304,58.724133,61.985703
2025-09-28 00:00:00,-7.2,112.4,46.189934,51.5981,54.471912
2025-09-28 06:00:00,-7.2,112.4,11.453768,13.068181,13.789495
2025-09-28 06:00:00,-7.2,112.4,12.93532,14.624788,15.255687
2025-09-28 12:00:00,-7.2,112.4,27.32054,29.757153,30.8304
2025-09-28 12:00:00,-7.2,112.4,22.633966,25.053322,26.205654
2025-09-28 18:00:00,-7.2,112.4,57.757294,61.717743,62.98825
2025-09-28 18:00:00,-7.2,112.4,58.12048,62.756668,64.52052
2025-09-29 00:00:00,-7.2,112.4,92.27154,100.37854,103.88817
2025-09-29 00:00:00,-7.2,112.4,71.39022,78.528275,81.965195
2025-09-29 06:00:00,-7.2,112.4,31.465153,35.219875,36.473236
2025-09-29 06:00:00,-7.2,112.4,31.520018,35.192436,36.396427
2025-09-29 12:00:00,-7.2,112.4,61.235992,65.7289,66.990425
2025-09-29 12:00:00,-7.2,112.4,54.848488,58.325058,58.97412
2025-09-29 18:00:00,-7.2,112.4,51.256844,55.791832,57.65945
2025-09-29 18:00:00,-7.2,112.4,124.52699,132.56067,134.7961
2025-09-30 00:00:00,-7.2,112.4,71.77482,76.66676,77.72883
2025-09-30 00:00:00,-7.2,112.4,58.632057,62.484333,63.05987
2025-09-30 06:00:00,-7.2,112.4,18.6497,20.005547,20.269655
2025-09-30 06:00:00,-7.2,112.4,17.761408,19.070747,19.3412
2025-09-30 12:00:00,-7.2,112.4,60.6168,65.704796,68.08591
2025-09-30 12:00:00,-7.2,112.4,67.50292,72.479164,74.46488
2025-09-30 18:00:00,-7.2,112.4,119.43433,127.2021,129.72168
2025-09-30 18:00:00,-7.2,112.4,124.771645,132.56721,134.9323
2025-10-01 00:00:00,-7.2,112.4,67.5106,73.367004,76.1633
2025-10-01 00:00:00,-7.2,112.4,103.84861,113.25477,118.04411
2025-10-01 06:00:00,-7.2,112.4,13.97283,15.212479,15.523334
2025-10-01 06:00:00,-7.2,112.4,14.886205,15.855381,15.9828205
2025-10-01 12:00:00,-7.2,112.4,65.10572,69.635124,71.233444
2025-10-01 12:00:00,-7.2,112.4,62.904007,68.14497,70.419334
