Polutan,PCA,K,Variance,Silhouette,Davies_Bouldin,Calinski_Harabasz,Cluster_Min,Cluster_Max,Balance_Ratio,Ukuran_Cluster
SO2,17,8,0.996443975864691,0.10330414099359804,0.9860938235344876,34.77122485808924,1,12,0.08333333333333333,1-1-1-1-3-9-9-12
SO2,17,9,0.996443975864691,0.1115645007569845,0.9555982614859643,33.21422261451552,1,11,0.09090909090909091,1-1-1-1-2-2-7-11-11
SO2,17,10,0.996443975864691,0.09000728745483964,0.958944891181049,30.224825899106964,1,12,0.08333333333333333,1-1-1-1-1-2-3-5-10-12
SO2,18,2,0.9974032414048651,0.7903731503521094,0.1270908047481844,35.797059287463895,1,36,0.027777777777777776,1-36
SO2,18,3,0.9974032414048651,0.7100324230378883,0.15017495451934837,43.42020440829882,1,35,0.02857142857142857,1-1-35
SO2,18,4,0.9974032414048651,0.39555852379206696,0.5308354543738297,40.624642709096236,1,32,0.03125,1-1-3-32
SO2,18,5,0.9974032414048651,0.409678656138931,0.4712301448008066,39.829298837642966,1,31,0.03225806451612903,1-1-1-3-31
SO2,18,6,0.9974032414048651,0.13815373846697793,0.8710009616784801,39.65119602386795,1,17,0.058823529411764705,1-1-1-3-14-17
SO2,18,7,0.9974032414048651,0.1293860774890901,0.9497231853405267,36.28062026989593,1,15,0.06666666666666667,1-1-1-2-3-14-15
SO2,18,8,0.9974032414048651,0.1023365274386857,0.9903948134980244,34.478000811963526,1,12,0.08333333333333333,1-1-1-1-3-9-9-12
SO2,18,9,0.9974032414048651,0.11106971715130706,0.9579040001224693,32.94096100821435,1,11,0.09090909090909091,1-1-1-1-2-2-7-11-11
SO2,18,10,0.9974032414048651,0.10622317995445832,1.0410524421982348,30.049925776321416,1,9,0.1111111111111111,1-1-1-1-2-2-3-8-9-9
SO2,19,2,0.9980780504992331,0.7901215098420047,0.1272832865805607,35.748136608285556,1,36,0.027777777777777776,1-36
SO2,19,3,0.9980780504992331,0.7096418611398292,0.1504488752441961,43.31606016236447,1,35,0.02857142857142857,1-1-35
SO2,19,4,0.9980780504992331,0.3946989084383374,0.5315285839533694,40.4960891886063,1,32,0.03125,1-1-3-32
