Polutan,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
CO,17,8,0.14841050943474926,0.8166089305049034,33.35089223489417,264.752928817454,0.9962873284214023
CO,17,9,0.15528816993505706,0.8421798412309993,32.81480792813019,230.93192737200195,0.9962873284214023
CO,17,10,0.14964399952160334,0.7936869372214505,30.674337054477327,213.462645543149,0.9962873284214023
CO,18,2,0.7964019638232371,0.12400397010666434,40.11686887026252,1117.7838778700448,0.9974983662519469
CO,18,3,0.6985488983580243,0.15807727566719562,45.33977774853157,654.2006111847508,0.9974983662519469
CO,18,4,0.3455732473423318,0.6913632100072651,41.42108355852246,503.4008739963381,0.9974983662519469
CO,18,5,0.18741037517487866,0.9197013500888211,39.04249431725702,407.96877047497776,0.9974983662519469
CO,18,6,0.13769433724743,1.0429835111600259,34.968732588886866,361.2862773239178,0.9974983662519469
CO,18,7,0.16015491046901104,0.894504903844126,33.59287984596058,310.80649855766455,0.9974983662519469
CO,18,8,0.14707063394799616,0.8208905023450306,33.0144641913843,267.4747765758847,0.9974983662519469
CO,18,9,0.15372072137296022,0.8464588847302229,32.441995276444956,233.61091762839567,0.9974983662519469
CO,18,10,0.14882398003463387,0.796986333911584,30.360491018302277,215.73275730742097,0.9974983662519469
CO,19,2,0.7961471475737634,0.12419028820179266,40.05358543281252,1119.5499453569398,0.9982326993780527
CO,19,3,0.6981270553137147,0.1583594627340616,45.217774112925525,655.9659919687325,0.9982326993780527
CO,19,4,0.3447479735140456,0.6922331076604482,41.27771918172863,505.15298822134235,0.9982326993780527
CO,19,5,0.18669822331363237,0.9218332700152192,38.87799876606315,409.7017287763942,0.9982326993780527
CO,19,6,0.13518445350669295,0.8675466425627306,33.90983898324203,371.09717111168135,0.9982326993780527
CO,19,7,0.15970736065590388,0.8968626620419089,33.41472971777629,312.4777474216198,0.9982326993780527
CO,19,8,0.14646302685181609,0.8234421463257124,32.8041550893402,269.19532058729044,0.9982326993780527
CO,19,9,0.15289384167718506,0.8496940564474793,32.20462328756337,235.3371348954007,0.9982326993780527
CO,19,10,0.1484498864194046,0.7993358109897987,30.15682862201631,217.21766602341236,0.9982326993780527
CO,20,2,0.7959099115177569,0.12436825346703576,39.99737066092332,1121.1234299397124,0.9988869549371457
CO,20,3,0.6977302368667395,0.1586292437601539,45.10976969550547,657.5373464242705,0.9988869549371457
CO,20,4,0.34388892376072827,0.6930316199210403,41.14982356488645,506.7237544913783,0.9988869549371457
CO,20,5,0.18593886320158273,0.9238427404601783,38.732645793190294,411.2453871762415,0.9988869549371457
CO,20,6,0.1803891891546153,0.8365105026759477,34.974551837835925,361.7380814180739,0.9988869549371457
CO,20,7,0.1629524777646826,0.8754204223444616,33.34598677029043,313.24309646988934,0.9988869549371457
CO,20,8,0.1438393815268162,0.8364524174064909,32.67832909207662,270.29225677531656,0.9988869549371457
CO,20,9,0.15191172701546934,0.8526467223194528,32.01550933256037,236.74532904628555,0.9988869549371457
CO,20,10,0.1473011073939071,0.8021338088073883,29.976767012533735,218.54687505092002,0.9988869549371457
CO,21,2,0.7957159516200993,0.1245229006101632,39.9543419903836,1122.330819608694,0.9993889881710425
CO,21,3,0.6974047265127066,0.15886105066692668,45.027089792886066,658.7447342412536,0.9993889881710425
CO,21,4,0.34313879565595756,0.6935610009043318,41.05202636945341,507.9309591985551,0.9993889881710425
CO,21,5,0.18522691515371267,0.9255388327123342,38.61927560010473,412.4526579380757,0.9993889881710425
CO,21,6,0.17971590999372433,0.8381567662012294,34.85887556179869,362.93953496581355,0.9993889881710425
CO,21,7,0.1621512254691891,0.8776091139015288,33.21836803631941,314.4470368629102,0.9993889881710425
CO,21,8,0.1452983914286341,0.827825855108586,32.49823483464465,271.7572820887534,0.9993889881710425
CO,21,9,0.15105782286573977,0.8554808996223489,31.855410710819875,237.93689958055865,0.9993889881710425
CO,21,10,0.14652045023155302,0.8048433786876016,29.823714569382176,219.67628113547164,0.9993889881710425
CO,22,2,0.7956400644913945,0.12457885316695666,39.93648678161913,1122.8326027987878,0.9995976299091454
CO,22,3,0.6972774038890345,0.15894544852697312,44.992818118799725,659.2465117574931,0.9995976299091454
CO,22,4,0.3428575257051777,0.6937964391763471,41.01151210492064,508.4327340051443,0.9995976299091454
CO,22,5,0.18496159567313147,0.9262321467726959,38.573241190074846,412.9465312702034,0.9995976299091454
CO,22,6,0.17945276043637276,0.838848082501973,34.81144982957139,363.435097308557,0.9995976299091454
CO,22,7,0.135913064370717,0.9769354019819044,32.994435855386975,316.36636336457735,0.9995976299091454
CO,22,8,0.14503583021417182,0.8286647009065728,32.441346065544415,272.2366899367996,0.9995976299091454
CO,22,9,0.15065278993632833,0.856533902582955,31.791555346982094,238.41717847325646,0.9995976299091454
CO,22,10,0.14609211036379685,0.805911004012081,29.759121940793417,220.15537879278747,0.9995976299091454
CO,23,2,0.7955876014219405,0.12461916100499887,39.92461852118535,1123.1663837465696,0.9997364162522238
